#py_latidx;py_lonidx;ID_river;Lat_idx;Lon_idx;River;Sal;Lat_idx_old;Lon_idx_old;branch_perc
32;1164;1;33;1165;Nilo;8;;;
33;1199;1;34;1200;Nilo;8;;;
141;1297;48;142;1298;Asi_Orontes;15;;;
146;1252;46;147;1253;Gorksu;15;;;
153;1288;45;154;1289;Ceyhan;15;;;
157;1190;43;158;1191;Manavgat;15;157;1192
157;1272;44;158;1273;Seyman;15;;;
159;1183;42;160;1184;Kopru;15;;;
164;680;47;165;681;Medjerda;15;;;
176;1087;41;177;1088;Buyuk_Menderes;15;;;
196;941;39;197;942;Acheloos;15;;;
202;1077;40;203;1078;Gediz;15;;;
212;931;37;213;932;Arachtos;15;211;933
234;981;38;235;982;Pinos;15;;;
247;980;36;248;981;Axios;15;;;
251;898;14;252;899;Vjiose;15;;;
253;457;2;254;458;Ebro;30;255;457
253;1059;35;254;1060;Maritsa;15;255;1060
254;1007;34;255;1008;Struma;15;;;
255;900;15;256;901;Seman;15;;;
260;768;32;261;769;Volturno;15;;;
260;901;33;261;902;Shkumbini;15;;;
275;904;31;276;905;Mati;15;;;
277;728;30;278;729;Tevere;15;;;
278;728;30;279;729;Tevere;15;;;
279;900;16;280;901;Buna_Bojana;15;;;
280;899;16;281;900;Buna_Bojana;15;;;
297;872;29;298;873;Trebisjnica;15;;;
308;852;27;309;853;Neretva;15;;;
312;513;28;313;514;Aude;15;;;
315;551;13;316;552;Grand_Rhone;25;;;
318;540;49;319;541;Petit_Rhone;15;;;
323;815;25;324;816;Krka;15;;;
324;681;26;325;682;Arno;15;;;
346;730;14;347;731;Reno;15;;;
346;790;23;347;791;Lika;15;;;
350;730;12;351;731;Po_di_Volano;18;;;0.63
350;732;10;351;733;Po_di_Goro;18;;;9.74
350;733;9;351;734;Po_di_Gnocca;18;;;15.48
352;735;8;353;736;Po_di_Bocca_di_Tolle;18;;;14.92
353;736;7;354;737;Po_di_Bastimento;18;;;4.10
354;737;6;355;738;Po_di_Scirocco;18;;;9.08
355;737;5;356;738;Po_di_Dritta;18;;;29.42
356;735;4;357;736;Po_di_Tramontana;18;;;10.47
357;733;3;358;734;Po_di_Maistra;18;;;4.40
358;732;11;359;733;Po_di_Levante;18;;;1.75
359;732;22;360;733;Adige;15;;;
360;731;21;361;732;Brenta_Bacchiglione;15;;;
368;740;17;369;741;Piave;15;;;
369;744;20;370;745;Livenza;15;;;
371;750;18;372;751;Tagliamento;15;;;
373;760;19;374;761;Isonzo;15;;;
